                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    120,                0.54342,                0.30783,                0.79966,                0.91264,                0.93499,                0.95914,                0.66647,                0.97309,                0.43033,                0.85294,             0.00036874,             0.00036874,             0.00036874
                    121,                 0.5529,                0.30958,                0.79012,                0.91219,                0.94124,                 0.9588,                0.66273,                0.97634,                0.42515,                0.85052,             0.00035774,             0.00035774,             0.00035774
                    122,                0.56062,                0.30343,                0.79846,                0.92838,                0.91053,                0.96072,                0.66833,                0.97469,                0.42879,                0.85145,             0.00034674,             0.00034674,             0.00034674
                    123,                0.53933,                0.29932,                0.79779,                0.93373,                 0.8965,                0.95274,                0.66506,                0.97061,                0.42169,                0.85241,             0.00033573,             0.00033573,             0.00033573
                    124,                0.52817,                 0.2923,                0.79236,                0.93527,                0.90413,                0.95077,                0.65851,                0.99394,                0.41568,                0.85564,             0.00032473,             0.00032473,             0.00032473
                    125,                0.53907,                0.29627,                0.80195,                0.91641,                0.94303,                0.95541,                0.68156,                0.96221,                0.40368,                0.85041,             0.00031373,             0.00031373,             0.00031373
                    126,                 0.5373,                0.29314,                0.80234,                0.91725,                0.94531,                0.95406,                0.67048,                0.98641,                0.42388,                0.85732,             0.00030273,             0.00030273,             0.00030273
                    127,                0.52032,                0.29042,                0.80867,                 0.9229,                0.91406,                0.94944,                0.67808,                0.95287,                0.40711,                0.84809,             0.00029172,             0.00029172,             0.00029172
                    128,                 0.5235,                0.29399,                0.80149,                0.94552,                0.92621,                0.95758,                 0.6736,                0.96836,                0.41703,                0.85307,             0.00028072,             0.00028072,             0.00028072
                    129,                0.55976,                0.30097,                0.80277,                0.92632,                0.92188,                0.95179,                0.65941,                 1.0042,                0.43698,                0.85762,             0.00026972,             0.00026972,             0.00026972
                    130,                0.50875,                0.28754,                0.79585,                0.94603,                0.91406,                0.95748,                0.66542,                0.98391,                0.42438,                0.85312,             0.00025872,             0.00025872,             0.00025872
